,Unnamed: 0,Institution Name,Country,Academic Reputation_SCORE,Employer Reputation_SCORE,Citations per Faculty_SCORE,Faculty Student_SCORE,Unnamed: 0,keywords
27,27,"University of California, Berkeley (UCB)",United States,100,99.9,97.7,30.9,"University of California, Berkeley (UCB)","founded,1868,university,california,berkeley,ucb,public,research,university,flagship,institution,ten,research,university,affiliated,university,california,system,berkeley,one,14,founding,member,association,american,university,home,worldrenowned,research,institute,including,mathematical,science,research,institute,space,science,laboratory,berkeley,alumnus,faculty,researcher,include,99,nobel,laureate,23,turing,award,winner,14,pulitzer,prize,winner,faculty,member,j,r,oppenheimer,led,manhattan,project,create,first,atomic,bomb,berkeley,’,nobel,laureate,ernest,lawrence,invented,cyclotron,uc,berkeley,scientist,researcher,discovered,16,chemical,element,periodic,table,berkeley,started,little,40,student,first,fullcurriculum,university,california,quickly,gained,ground,illustrious,forebear,early,1940s,grown,substantially,ranked,second,harvard,decade,berkeley,gained,prestige,radiation,laboratory,instrumental,project,develop,atomic,bomb,sixty,berkeley,gained,worldwide,reputation,student,activism,thanks,free,speech,movement,1964,campus,opposition,vietnam,war,1969,governor,california,ronald,reagan,called,berkeley,campus,communist,sympathizer,protester,sex,deviant,though,today,’,student,tend,politically,moderate,berkeley,campus,encompasses,approximately,1232,acre,bay,area,los,angeles,many,beauxartsstyle,building,recognized,california,historical,landmark,three,quarter,40000,student,undergraduate,giving,life,campus,youthful,feel,vibrant,urban,surround,undergraduate,student,live,residential,hall,make,friend,work,play,safe,environment,designed,enhance,academic,experience,culture,care,also,student,coop,notforprofit,housing,cooperative,berkeley,student,1300,student,living,17,house,three,apartment,cooperative,around,berkeley,campus,student,play,sport,join,club,society,spanning,every,imaginable,interest,campus,student,visit,lawrence,hall,science,watch,sport,newlyrenovated,california,memorial,stadium,take,noon,concert,stroll,sproul,plaza,social,heart,berkeley,campus"
28,28,Australian National University (ANU),Australia,96.9,81.3,87.4,37.5,Australian National University (ANU),"australian,national,university,anu,worldleading,centre,education,research,ranked,1,australia,22,world,q,world,university,ranking,201617,australia,’,national,university,distinguished,outstanding,record,student,satisfaction,graduate,employability,academic,professional,staff,anu,offer,excellent,condition,including,flexible,working,arrangement,professional,development,opportunity,competitive,pay,generous,superannuation,within,integrated,engaged,oncampus,community"
29,29,University of Toronto,Canada,98.9,96.3,43.9,71.5,University of Toronto,"founded,1827,university,toronto,evolved,canada,’,leading,institution,learning,discovery,knowledge,creation,proud,one,world,’,top,researchintensive,university,driven,invent,innovate,student,opportunity,learn,work,preeminent,thought,leader,multidisciplinary,network,teaching,research,faculty,alumnus,partner,idea,innovation,action,560000,graduate,continue,positive,impact,world"
30,30,Northwestern University,United States,85.9,80.2,62.8,100,Northwestern University,"three,campus,global,presence,northwestern,university,transcends,traditional,academic,boundary,highly,collaborative,environment,provides,diverse,student,faculty,exceptional,opportunity,personal,professional,growth,northwestern,one,country,’,leading,private,research,teaching,university,two,campus,located,lake,michigan,240acre,main,campus,evanston,12,mile,north,downtown,chicago,25acre,campus,chicago,third,campus,located,doha,qatar,northwestern,8000,fulltime,undergraduate,student,13000,graduate,professional,student,member,big,ten,conference,athletic,team,called,wildcat,morton,schapiro,served,president,northwestern,university,since,2009,ranked,9th,among,national,university,u,news,world,report,northwestern,recognized,nationally,internationally,educational,program,needbased,financial,aid,available,international,student,seeking,undergraduate,degree,northwestern,meet,100,admitted,firstyear,student,demonstrated,financial,need,four,year,northwestern,welcome,student,demonstrated,academic,achievement,diverse,social,ethnic,economic,background,90,percent,undergraduate,applicant,rank,top,10,percent,high,school,class,student,come,50,state,include,4300,international,student,120,country,university,’,12,college,school,include,bienen,school,music,weinberg,college,art,science,school,communication,school,education,social,policy,mccormick,school,engineering,applied,science,graduate,school,medill,school,journalism,medium,integrated,marketing,communication,pritzker,school,law,kellogg,school,management,feinberg,school,medicine,school,professional,study,northwestern,university,qatar"
31,31,The Hong Kong University of Science and Technology (HKUST),Hong Kong,85,71.3,89.5,59.5,The Hong Kong University of Science and Technology (HKUST),"established,1991,hong,kong,university,science,technology,hkust,international,research,university,dedicated,topnotch,education,research,founded,mission,advance,learning,knowledge,teaching,research,particularly,science,technology,engineering,management,business,study,complemented,humanity,social,science,well,assisting,hong,kong,’,socioeconomic,development,young,ambitious,university,gone,beyond,wildest,dream,many,climbing,high,international,esteem,reaping,numerous,honor,accolade,2019,hkust,ranked,32nd,among,1000,university,no2,world,’,top,50,university,50,q,respect,individual,school,hkust,also,put,strong,performance,school,engineering,named,18,amongst,world,’,top,500,engineering,technology,university,q,ranking,published,2019,ranked,2,greater,china,much,soughtafter,kellogghkust,executive,mba,emba,program,amid,high,expectation,also,topped,financial,time,emba,global,ranking,nine,time,past,twelve,year,hailed,widely,‘,miracle,’,stunning,achievement,hkust,come,miraculously,boil,university,’,positioning,focused,elite,research,university,strong,tie,global,institution,wideranging,connection,mainland,china,championing,interdisciplinary,study,dedication,educating,wellrounded,student,flourish,today,’,world,strong,entrepreneurial,spirit,innovative,thinking,mission,global,premier,knowledge,hub,crystallized,institute,advanced,study,last,least,spectacular,setting,sea,make,university,attractive,location,pursuit,intellectual,academic,excellence,keen,curating,diversified,international,learning,environment,hkust,home,15000,student,spanning,80,country,five,continent,whereas,world,’,amazing,talent,flocking,campus,eclectic,educational,experience,student,enrolled,earnest,expanding,horizon,joining,university,’,varied,exchange,program,include,250,partner,worldwide,international,mix,student,aside,hkust,also,life,promise,stronghold,cuttingedge,research,magnet,distinguished,academic,influential,thinker,hkust,consistently,achieved,highest,success,rate,research,grant,’,council,’,annual,competitive,general,research,fund,exercise,reach,47,2018,university,see,total,39,faculty,named,fellow,institute,electrical,electronics,engineer,ieee,among,highest,hong,kong,2011,faculty,reaped,five,state,science,technology,award,among,prestigious,award,science,technology,conferred,state,council,people,republic,china,largest,share,among,local,tertiary,institution,addition,six,chinese,academy,science,academician,hkust,nine,faculty,member,also,entered,national,science,technology,program,expert,database"
32,32,King's College London (KCL),United Kingdom,88.5,80.4,52,82.3,King's College London (KCL),"king,college,london,one,top,25,university,world,201617,q,world,university,ranking,among,oldest,england,king,27600,student,nearly,10500,graduate,student,150,country,worldwide,6800,staff,king,outstanding,reputation,worldclass,teaching,cuttingedge,research,2014,research,excellence,framework,ref,king,’,ranked,6th,nationally,‘,power,’,ranking,take,account,quality,quantity,research,activity,7th,quality,according,time,higher,education,ranking,eightyfour,per,cent,research,king,’,deemed,‘,worldleading,’,‘,internationally,excellent,’,3,4,university,top,seven,uk,university,research,earnings,overall,annual,income,£684,million,king,particularly,distinguished,reputation,humanity,law,science,including,wide,range,health,area,psychiatry,medicine,nursing,dentistry,social,science,including,international,affair,played,major,role,many,advance,shaped,modern,life,discovery,structure,dna,research,led,development,radio,television,mobile,phone,radar,king,college,london,guy,st,thomas,king,college,hospital,south,london,maudsley,nh,foundation,trust,part,king,health,partner,king,health,partner,academic,health,science,centre,ahsc,pioneering,global,collaboration,one,world,leading,researchled,university,three,london,successful,nh,foundation,trust,including,leading,teaching,hospital,comprehensive,mental,health,service,information,visit,wwwkingshealthpartnersorg,king,’,£600,million,campaign,world,questionsking,’,answer,delivered,huge,global,impact,area,king,’,particular,expertise,philanthropic,support,funded,new,research,save,young,life,evelina,london,child,’,hospital,established,king,’,dickson,poon,school,law,worldwide,leader,transnational,law,built,new,cancer,centre,guy,’,hospital,allowed,unique,collaboration,leading,neuroscientist,fasttrack,new,treatment,alzheimer,’,parkinson,’,motor,neurone,disease,depression,schizophrenia,new,maurice,wohl,clinical,neuroscience,institute,created,cicely,saunders,institute,first,academic,institution,world,dedicated,palliative,care,supported,king,’,sierra,leone,partnership,ebola,crisis,donation,provide,300,promising,student,scholarship,bursary,yearmore,information,campaign,available,wwwkclacukkingsanswers"
33,33,Kyoto University,Japan,98.7,92.5,53.2,96.3,Kyoto University,"kyoto,university,one,asia,’,leading,researchoriented,institution,famed,producing,worldbeating,researcher,including,13,nobel,prize,laureate,motto,school,founded,1897,“,freedom,academic,spirit,”,value,aim,instill,22000,student,enrolled,undergraduate,graduate,program,kyoto,rank,competitively,major,ranking,usually,coming,top,two,japan,top,10,asia,top,50,university,globally,making,major,player,university,scene,main,yoshida,campus,core,university,since,founding,notable,fascinating,architecture,encompassing,variety,style,brick,building,clock,tower,centennial,hall,symbol,university,modern,laboratory,building,campus,include,uji,campus,host,research,institute,stateoftheart,laboratory,testing,facility,katsura,campus,conceived,“,technoscience,hill,”,mixing,traditional,cutting,edge,therefore,one,typical,student,experience,kyoto,though,common,student,sense,belonging,academic,community,forefront,new,scholarly,horizon,particular,come,new,technology,meeting,global,challenge,interested,japanese,culture,city,kyoto,interest,’,birthplace,manga,capital,city,japan,1000,year,numerous,cultural,asset,cultivated,throughout,long,history,remain,city,one,every,10,people,university,student,–,far,highest,proportion,japanese,city,kyoto,also,blessed,abundance,nature,surrounded,mountain,tranquil,temple,garden,part,city,also,conservation,hub,compared,osaka,tokyo,cost,living,kyoto,relatively,low,city,center,fairly,compact,student,travel,around,safely,bicycle"
34,34,McGill University,Canada,92.2,93.8,58.4,63.3,McGill University,"based,montreal,mcgill,university,rank,among,canada,prestigious,university,attracting,thousand,international,student,150,country,every,year,highest,percentage,phd,student,canadian,research,university,mcgill,university,owes,reputation,50,research,center,institute,400,program,rich,history,thriving,alumnus,network,250000,people,around,globe,graduate,highly,sought,employer,montreal,also,came,first,q,best,student,city,2017,ranking,studentfriendly,city,around,world,safe,affordable,montreal,infused,art,different,culture,35,million,resident,800000,born,overseas,220000,engaged,higher,education,rental,cost,significantly,lower,major,university,city,many,international,institute,pharmaceutical,firm,financial,company,aeronautical,firm,based,providing,ample,employment,opportunity,student,like,32,mcgill,university,’,graduate,student,international,strongly,urged,apply,scholarship,may,eligible,including,six,international,fellowship"
35,35,"University of California, Los Angeles (UCLA)",United States,100,99.7,88.3,40.6,,
36,36,Seoul National University (SNU),South Korea,96.9,91.1,61.6,88,,
37,37,The University of Melbourne,Australia,99.2,98.1,75,24.1,,
38,38,New York University (NYU),United States,95.9,95.6,24,97.6,,
39,39,Fudan University,China,83.4,93.8,57.8,86.5,,
40,40,KAIST - Korea Advanced Institute of Science and Technology,South Korea,85,74.5,98.1,73.9,,
41,41,The University of Sydney,Australia,97.5,96.4,70.9,23.6,,
42,42,The University of New South Wales (UNSW),Australia,91.2,95.7,84.5,19.8,,
43,43,London School of Economics and Political Science (LSE),United Kingdom,78.9,99.7,91.1,34.8,,
44,44,"University of California, San Diego (UCSD)",United States,92.2,51.8,78.4,60.3,,
45,45,The Chinese University of Hong Kong (CUHK),Hong Kong,87.9,61.5,56.2,67.7,,
46,46,The University of Queensland (UQ),Australia,88.5,82.2,81.8,27.7,,
47,47,Carnegie Mellon University,United States,75.2,77.5,94.3,43.5,,
48,48,University of Bristol,United Kingdom,76.6,84.2,61.8,72.8,,
49,49,Delft University of Technology,Netherlands,71.2,88.2,90,46.4,,
50,50,University of British Columbia,Canada,97,89,42.2,46,,
51,51,City University of Hong Kong,Hong Kong,59,41.3,89.4,89.7,,
52,52,Universit� PSL (Paris Sciences & Lettres),France,77.7,98.6,26.2,100,,
53,53,Zhejiang University,China,67.7,86.5,63.9,78.6,,
54,54,Technische Universit�t M�nchen,Germany,80.2,99,26.9,89.1,,
55,55,University of Wisconsin-Madison,United States,87.8,49.7,50,85.5,,
56,56,Brown University,United States,61.9,58.2,86.6,81.1,,
57,57,Monash University,Australia,88,91.9,64.2,17.1,,
58,58,Tokyo Institute of Technology,Japan,74.5,82.7,61.3,86.2,,
59,59,Ecole Polytechnique,France,43.8,99.3,66.3,99.6,,
60,60,Shanghai Jiao Tong University,China,79.6,93.6,65.5,53.7,,
61,61,The University of Warwick,United Kingdom,74.4,94.1,50.3,55.3,,
62,62,Ludwig-Maximilians-Universit�t M�nchen,Germany,91.1,83.2,45.7,52.6,,
63,63,University of Amsterdam,Netherlands,81.1,56,75.9,44.8,,
64,64,University of Texas at Austin,United States,94.2,83.3,93.4,12.1,,
65,65,Ruprecht-Karls-Universit�t Heidelberg,Germany,80,50.6,34.8,96.7,,
66,66,University of Glasgow,United Kingdom,72.2,58.9,55,63.7,,
67,67,University of Washington,United States,86.1,51.4,99.2,17.4,,
68,68,National Taiwan University (NTU),Taiwan,89.8,82.4,59.7,41.9,,
69,69,Universiti Malaya (UM),Malaysia,68.2,72,41.5,90.7,,
70,70,Osaka University,Japan,80.8,67.5,46.2,80.3,,
71,71,Georgia Institute of Technology (Georgia Tech),United States,71.1,81.7,100,15.1,,
72,72,Universidad de Buenos Aires,Argentina,87.2,91.3,2.4,77.4,,
73,73,University of Illinois at Urbana-Champaign,United States,89,58.1,86.3,13.5,,
74,74,University of Zurich,Switzerland,58.6,64.5,38.7,99.7,,
75,75,Sorbonne University,France,89.2,45.9,36.2,59.7,,
76,76,Durham University,United Kingdom,57.3,91.2,77.9,35.9,,
77,77,The University of Sheffield,United Kingdom,61.3,58.7,61.4,61,,
78,78,Katholieke Universiteit Leuven,Belgium,79.1,64.3,85.3,11.8,,
79,79,University of Birmingham,United Kingdom,65.6,78.8,49.3,54.8,,
80,80,University of Copenhagen,Denmark,70.1,43.9,25.5,100,,
81,81,Tohoku University,Japan,69.5,59.1,43.1,98.2,,
82,82,Korea University,South Korea,70,85,35.4,83.1,,
83,83,The University of Auckland,New Zealand,84.2,62.8,44.8,25,,
84,84,Lomonosov Moscow State University,Russia,73.6,84.9,7.2,99.7,,
85,85,Rice University,United States,40.1,22.7,93.6,84,,
86,86,The University of Western Australia (UWA),Australia,62.4,59.8,88.3,20.8,,
87,87,Pohang University of Science and Technology (POSTECH),South Korea,41.3,40.8,99.3,99.9,,
88,88,University of Science and Technology of China,China,56.2,26.1,98.5,81.1,,
89,89,"University of North Carolina, Chapel Hill",United States,68.7,53.3,46,88.3,,
90,90,The Hong Kong Polytechnic University,Hong Kong,61.3,43.7,46.3,74.1,,
91,91,Lund University,Sweden,69.6,54.3,51.9,50.1,,
92,92,Pennsylvania State University,United States,76.5,80.4,67.8,31.6,,
93,93,University of Leeds,United Kingdom,69.2,81.2,41.6,45.5,,
94,94,Sungkyunkwan University,South Korea,58.4,74.6,49.3,85.7,,
95,95,The University of Nottingham,United Kingdom,60.3,73.2,49.7,52.4,,
96,96,University of Southampton,United Kingdom,50.8,52.5,68.1,59,,
97,97,Boston University,United States,63.1,57.5,62.1,53.8,,
98,98,"KTH, Royal Institute of Technology",Sweden,47.5,68.4,72.8,63,,
99,99,University of St Andrews,United Kingdom,45.2,51.6,67.4,65.3,,
100,100,Ohio State University,United States,63.8,67.3,41.3,66.7,,
101,101,Eindhoven University of Technology,Netherlands,30.9,65.9,97.1,62.5,,
102,102,Universidad Nacional Aut�noma de M�xico (UNAM),Mexico,90.9,91,3.8,57.6,,
103,103,"University of California, Davis (UCD)",United States,70.3,33.9,80.4,23.3,,
104,104,Yonsei University,South Korea,62.9,78.3,30.6,85,,
105,105,The University of Adelaide,Australia,59.3,43.7,73.7,28.5,,
106,106,University of Helsinki,Finland,64.5,54.8,51.5,66.8,,
107,107,Trinity College Dublin (TCD),Ireland,62,51.2,56.8,35.8,,
108,108,Washington University in St. Louis,United States,43.8,18.8,59.2,99.8,,
109,109,University of Geneva,Switzerland,51.1,23.7,73.6,52.6,,
110,110,Purdue University,United States,63.8,68.9,55.6,30.9,,
111,111,Technical University of Denmark,Denmark,30.5,27.1,65.9,99.9,,
112,112,University of Alberta,Canada,58,41.4,48.8,57,,
113,113,University of Groningen,Netherlands,50.6,24.5,51.8,67.9,,
114,114,Nagoya University,Japan,60.5,38.6,37.3,90.6,,
115,115,Universidade de S�o Paulo (USP),Brazil,88.3,73.3,35.2,25.2,,
116,116,Uppsala University,Sweden,65.8,32.6,56.9,46.2,,
117,117,Leiden University,Netherlands,67.6,30.5,64.1,29.7,,
118,118,University of Oslo,Norway,52.6,22.3,49.2,77.7,,
119,119,Humboldt-Universit�t zu Berlin,Germany,88.3,54,33.9,12.2,,
120,120,Nanjing University,China,60.7,30.3,84.2,31,,
121,121,Utrecht University,Netherlands,62.8,32.3,66,42.5,,
122,122,University of Bern,Switzerland,30.3,38.2,90.6,63.7,,
123,123,"KIT, Karlsruher Institut f�r Technologie",Germany,46.3,88.9,72.6,29.5,,
124,124,Chalmers University of Technology,Sweden,30.5,61.4,73.1,66.3,,
125,125,Wageningen University,Netherlands,37.4,22,57.7,95.6,,
126,126,Queen Mary University of London (QMUL),United Kingdom,52.6,41.9,58.8,34.4,,
127,127,Pontificia Universidad Cat�lica de Chile,Chile,85.2,95.5,13.6,28.6,,
128,128,Lancaster University,United Kingdom,40.4,27,70.6,52.5,,
129,129,University of Southern California,United States,58.5,60,64.5,28.7,,
130,130,Freie Universit�t Berlin,Germany,80.2,49,46,5.4,,
131,131,University of Ghent,Belgium,51.9,31.7,39,84.2,,
132,132,Hokkaido University,Japan,56.3,47.1,34.2,84.4,,
133,133,Kyushu University,Japan,55.5,49.2,32.6,85.6,,
134,134,Aalto University,Finland,40.1,47.4,69.9,55.6,,
135,135,"University of California, Santa Barbara (UCSB)",United States,62.5,20.1,86.2,14.8,,
136,136,"University of Maryland, College Park",United States,54.1,34.8,70,50.9,,
137,137,Universit� de Montr�al,Canada,55.2,55.5,27.5,55.4,,
138,138,Rheinisch-Westf�lische Technische Hochschule Aachen,Germany,55.3,97.2,59,13,,
139,139,CentraleSup�lec,France,15.8,100,45.4,88.7,,
140,140,McMaster University,Canada,40.4,42.5,32.4,85,,
141,141,University of Pittsburgh,United States,44.6,21.9,49,96.2,,
142,142,University of Technology Sydney (UTS),Australia,44.3,80.6,68.2,10.1,,
143,143,Michigan State University,United States,61.9,65.8,54.4,18.6,,
144,144,Aarhus University,Denmark,52.9,45.7,62.7,38,,
145,145,Newcastle University,United Kingdom,41,73.7,43.4,47.7,,
146,146,Technische Universit�t Berlin,Germany,53.9,77.7,30.2,47.6,,
147,147,University of York,United Kingdom,42,40.8,51.3,56.8,,
148,148,Politecnico di Milano,Italy,60.4,84.3,56.9,6.3,,
149,149,Hanyang University,South Korea,46.8,68.4,30.8,77.2,,
150,150,University of Basel,Switzerland,30.4,25,91.3,37.8,,
151,151,Indian Institute of Technology Bombay (IITB),India,54.5,71.2,54.6,45.8,,
152,152,University of Lausanne,Switzerland,35.3,23,52.8,68.4,,
153,153,Cardiff University,United Kingdom,48.6,38.3,37.9,52.5,,
154,154,Universit�t Wien,Austria,64.4,47.3,17.9,26.2,,
155,155,Emory University,United States,26.9,11.8,59.1,99.7,,
156,156,University of Minnesota,United States,66.2,26.1,58.2,31.9,,
157,157,Tecnol�gico de Monterrey (ITESM),Mexico,36.9,88.9,4.6,89.5,,
158,158,Universiti Putra Malaysia (UPM),Malaysia,44.8,44.4,20.9,73.2,,
159,159,Ecole Normale Sup�rieure de Lyon,France,35.4,10.4,47.9,97,,
160,160,Universiti Kebangsaan Malaysia (UKM),Malaysia,50.9,44.7,13.1,87.8,,
161,161,Hebrew University of Jerusalem,Israel,39.4,38.5,43.4,77.9,,
162,162,University of Bergen,Norway,34.1,13,60.8,79.5,,
163,163,University of Exeter,United Kingdom,38.8,57.2,49,41.5,,
164,164,Universitat de Barcelona (UB),Spain,71.8,45.5,29.8,32.5,,
165,165,Universiti Sains Malaysia (USM),Malaysia,49.6,52.5,17.7,74.9,,
166,166,Case Western Reserve University,United States,19.9,17.1,65.8,92,,
167,167,Universit� Catholique de Louvain (UCL),Belgium,51.3,45.5,68.4,10.4,,
168,168,University of Florida,United States,50.9,48.3,29.6,74,,
169,169,Eberhard Karls Universit�t T�bingen,Germany,46.3,25.7,17.8,89.4,,
170,170,Universit�t Freiburg,Germany,53,24.4,50.6,38.6,,
171,171,University of Rochester,United States,25,7.4,42.4,100,,
172,172,University of Bath,United Kingdom,36.9,63,56,25.6,,
173,173,National Tsing Hua University,Taiwan,47.5,59.6,65.8,32.2,,
174,174,Queen's University of Belfast,United Kingdom,28.9,36,64.9,43.5,,
175,175,University of Waterloo,Canada,39.3,76.5,68.5,7.6,,
176,176,University of Otago,New Zealand,51.7,41.4,48.2,19.6,,
177,177,Scuola Superiore Sant'Anna Pisa,Italy,14.6,8,99.3,86.2,,
178,178,Universit� di Bologna (UNIBO),Italy,74.7,46.3,46.8,6,,
179,179,Technische Universit�t Dresden,Germany,35.8,69.7,21.3,84.6,,
180,180,University of Liverpool,United Kingdom,42.2,32.9,34.4,50.5,,
181,181,Indian Institute of Technology Delhi (IITD),India,46.8,63,80.6,23.3,,
182,182,Erasmus University Rotterdam,Netherlands,35.2,53.5,53.7,42.6,,
183,183,Indian Institute of Science (IISc) Bangalore,India,33.3,16.2,100,53.2,,
184,184,University College Dublin (UCD),Ireland,46,42.6,42.4,31.2,,
185,185,King Abdul Aziz University (KAU),Saudi Arabia,28.5,36.8,38.6,71.3,,
186,186,University of Twente,Netherlands,21.1,35.1,81.2,39.8,,
187,187,Universitat Aut�noma de Barcelona,Spain,61.1,38.4,54.7,14.1,,
188,188,Texas A&M University,United States,60.9,59.7,50.6,13.5,,
189,189,Universidad de Chile,Chile,71.6,90.8,14.5,16.3,,
190,190,Stockholm University,Sweden,54.7,16.8,46.2,34.7,,
191,191,Technische Universit�t Wien,Austria,32.9,57.7,78.7,8.6,,
192,192,Universidad Aut�noma de Madrid,Spain,57.4,64,24,45.8,,
193,193,University of Aberdeen,United Kingdom,29.5,23.2,63.6,39.6,,
194,194,Vrije Universiteit Brussel (VUB),Belgium,25.9,24.7,29.7,90,,
195,195,Georg-August-Universit�t G�ttingen,Germany,51.2,19,24.1,66.1,,
196,196,University of Cape Town,South Africa,47.5,47.6,44.4,28.3,,
197,197,University of Virginia,United States,39.2,46.6,46.1,64.3,,
198,198,Keio University,Japan,51.4,77.2,9.4,62.2,,
199,199,King Fahd University of Petroleum & Minerals (KFUPM),Saudi Arabia,26.8,20.1,40.1,85.2,,
200,200,Vanderbilt University,United States,28.2,25.4,36,100,,
201,201,Waseda University,Japan,58.6,86.9,7.9,32.2,,
202,202,Sapienza - Universit� di Roma,Italy,72.9,33.3,43.8,5.7,,
203,203,Scuola Normale Superiore di Pisa,Italy,22.4,7.3,57.7,100,,
204,204,University of Reading,United Kingdom,33.2,34.9,53.4,32.7,,
205,205,University of Colorado at Boulder,United States,37.9,25.5,50.4,63.3,,
206,206,Al-Farabi Kazakh National University,Kazakhstan,34,60.7,1.2,98.6,,
207,207,Dartmouth College,United States,20.8,28.9,71.5,76.8,,
208,208,University of Newcastle,Australia,34.1,31,57.4,32.8,,
209,209,University of Notre Dame,United States,29.8,42.6,49.8,67.3,,
210,210,Western University,Canada,30.4,65.7,73.5,9.1,,
211,211,Universidad Complutense de Madrid (UCM),Spain,64.6,71.6,14.5,26.6,,
212,212,University of Wollongong,Australia,31,34.3,66.9,21.6,,
213,213,Universidade Estadual de Campinas (Unicamp),Brazil,67.5,34.5,32.7,21.1,,
214,214,Arizona State University,United States,42,29.9,67.9,12.2,,
215,215,Victoria University of Wellington,New Zealand,47,36,44.3,13.4,,
216,216,Radboud University Nijmegen,Netherlands,31.1,15.3,76.7,39.4,,
217,217,Universiti Teknologi Malaysia (UTM),Malaysia,33.9,45,22.7,73.3,,
218,218,Tel Aviv University,Israel,35.4,40.5,95.4,7.8,,
219,219,"University of California, Irvine (UCI)",United States,45.3,16.7,64.4,16.9,,
220,220,Vrije Universiteit Amsterdam,Netherlands,41.7,16.8,47.7,49.1,,
221,221,Loughborough University,United Kingdom,30,63.3,40.4,34.4,,
222,222,University of Antwerp,Belgium,23.9,19.3,32.9,85.3,,
223,223,Queensland University of Technology (QUT),Australia,42.8,46.9,45.9,10.1,,
224,224,TELECOM ParisTech,France,4.7,43.2,28.2,95.1,,
225,225,National Cheng Kung University,Taiwan,40.8,53.4,39.7,42.5,,
226,226,Georgetown University,United States,34.2,42.8,26.7,67.6,,
227,227,National Chiao Tung University,Taiwan,28.9,52.1,54.6,45.8,,
228,228,Universit�t Hamburg,Germany,47.7,15.5,38.4,41,,
229,229,University of Canterbury,New Zealand,38.8,43.8,45.9,13,,
230,230,Curtin University,Australia,32.4,47.3,52.7,19.5,,
231,231,Novosibirsk State University,Russia,30,26.4,16.4,93.8,,
232,232,"University of Illinois, Chicago (UIC)",United States,46.4,33.7,36.4,43.6,,
233,233,University of Calgary,Canada,34.1,39,43.2,30.6,,
234,234,Saint-Petersburg State University,Russia,38.6,31.3,6,87.9,,
235,235,Universidad de Los Andes Colombia,Colombia,54.4,87.9,8.1,27.6,,
236,236,Universit� degli Studi di Padova (UNIPD),Italy,55.1,38.7,49.8,13.3,,
237,237,Macquarie University,Australia,30.6,47.3,40.5,23.6,,
238,238,RMIT University,Australia,37.1,63.1,29.2,12.3,,
239,239,Maastricht University,Netherlands,22.1,22.1,65.1,24.6,,
240,240,Queen's University,Canada,36.2,69.9,53.5,8.7,,
241,241,University of Leicester,United Kingdom,24.6,18.5,48.5,44.5,,
242,242,Sciences Po Paris,France,22.3,32.6,5.1,89.1,,
243,243,Rheinische Friedrich-Wilhelms-Universit�t Bonn,Germany,49.6,16.7,22.3,46.6,,
244,244,American University of Beirut (AUB),Lebanon,24.6,52.9,15.2,63.1,,
245,245,Universidad de Navarra,Spain,31,75.1,25.8,44.1,,
246,246,University of Sussex,United Kingdom,28.7,11,51.2,29.3,,
247,247,Chulalongkorn University,Thailand,62.4,56.5,8.5,25.6,,
248,248,Kyung Hee University,South Korea,27.1,32.4,18.4,87.8,,
249,249,Ecole des Ponts ParisTech,France,8.7,53.9,20.2,92.1,,
250,250,National Taiwan University of Science and Technology,Taiwan,24.4,30.6,43.6,64.2,,
251,251,Universit� Libre de Bruxelles (ULB),Belgium,33.8,58.6,38,11,,
252,252,Tufts University,United States,20.2,9.8,45.7,78.9,,
253,253,Universidad Nacional de Colombia,Colombia,61.5,89.7,5.3,11.1,,
254,254,University of Paris,France,48.5,7.6,46.1,33.5,,
255,255,University of Gothenburg,Sweden,37.7,12.2,32,57.1,,
256,256,Technion - Israel Institute of Technology,Israel,28.4,34.7,69.5,24.6,,
257,257,Wuhan University,China,38,51.3,46.5,21.7,,
258,258,"National University of Ireland, Galway (NUIG)",Ireland,22.4,24.4,16.1,73.7,,
259,259,Technische Universit�t Darmstadt,Germany,20,71.1,72.9,6.5,,
260,260,Hong Kong Baptist University (HKBU),Hong Kong,18.6,15.4,49.8,41.5,,
261,261,"Rutgers - The State University of New Jersey, New Brunswick",United States,39.4,32,23.3,49.3,,
262,262,Universit� Paris-Sud 11,France,27.1,13,21.3,80.4,,
263,263,University of Arizona,United States,41.9,20.1,41.9,37.6,,
264,264,Tongji University,China,32.2,9.6,58.4,26.2,,
265,265,Universit�t Innsbruck,Austria,20.4,19.9,16,66.1,,
266,266,University of Waikato,New Zealand,19.7,17.8,75.3,14.9,,
267,267,Khalifa University,United Arab Emirates,9.3,9.7,42.2,77.3,,
268,268,Tomsk State University,Russia,20.5,17.3,4.5,99.8,,
269,269,University of Tsukuba,Japan,35,13.1,22.3,70.3,,
270,270,Deakin University,Australia,30.1,44.2,47.6,6.4,,
271,271,Indian Institute of Technology Madras (IITM),India,35.3,47.3,56.4,28,,
272,272,University of Miami,United States,22.2,23.8,49.2,62.7,,
273,273,University of South Australia (UniSA),Australia,25.1,19.9,51.9,27.5,,
274,274,University of Surrey,United Kingdom,22.5,29.3,45.3,25.4,,
275,275,Qatar University,Qatar,16.9,28.3,14.3,66.4,,
276,276,Beijing Normal University,China,39,12.3,48.6,31.2,,
277,277,Harbin Institute of Technology,China,21.8,7.3,72.9,52.6,,
278,278,Universit�t Stuttgart,Germany,26,55,65.9,8.2,,
279,279,Dalhousie University,Canada,19.1,19.1,61.8,23.7,,
280,280,Indian Institute of Technology Kharagpur (IITKGP),India,26.6,41.1,78.4,21.6,,
